,ABW,AND,AFG,AGO,ALB,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IDN,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KSV,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOC,NOR,NPL,NZL,OEC,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSS,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,PSE,WLD,WSM,YEM,ZAF,COD,ZMB,ZWE
1996,0.0,0.0,0.0,1.0,18.6,3489.05848528,143.1,2287.2,197.9,0.0,0.0,13623.3,3646.2,118.2,7.9,5554.4,13.7,17.2,156.3,954.1,36.8,1.7,6.6,567.8,1.3,0.0,21.3,3813.4,11.4,8.3,0.0,39.1,3.3,23841.8,13142.7,7568.4,0.0,920.3,10526.1,31.1,60.5,9.9,194.7,0.0,0.7,74.7,128.901016973,206.4,0.0,0.0,44.5,2185.5,39213.4,0.2,0.3,4368.7,10.0,155.6,11772.2177387,90319.8908471,8609.54644645,240894.055662,32.0,1292.2,133524.3,2.2,12495.1,270.4,97.3,204588.2,515.099529158,4329.6,9.0,29746.0,0.0,3.0,11.5,46213.9,126.6,71.8,2.6,24.4,3.5,0.5,2249.3,0.0,0.0,23.8,0.0,2.8,543205.208177,0.0,7.9,823.98869815,640.3,1.2,1813.1,141.0,0.0,9752.8,0.0,1253.8,317.7,36.2,145.3,5750.7,19233.8,57.0,163.1,50345.0,141.4,274.2,12.3,2.5,0.0,0.3,4770.9,0.0,208.9,6702.67491048,0.9,62.6,1.0,20.0,2.8,10587.8150949,828.167032727,624.158621368,8.9,71.0,16590.9369456,43732.3824578,1.0,188.6,17.9,143.5,0.0,0.0,273.9,20.7,119.4,16.6,1.5,9521.9616249,2123.9,2.0,43052.4008209,39.1,15.9,11.5,5.2,2550.4729433,0.0,18.9,0.0,6.6,3.5,5.1,45.5,362.2,217045.099411,18.2,0.0,19.6,434.7,8.9,12412.8,31902.8797865,2931.8,29.6,2575.5,507416.4,511768.3,51.5,126.388425223,254.9,33.9,69.8,157.8,0.0,30.3,4506.9,0.0,0.0,1096.7,8.7,16.9105983706,0.0,28.2,823.5,18553.3,5.9,10266.2457317,734.5,45.8,69.7,1141.2,1.8,10.4,3.7,0.5,0.8,0.0,3942.84274724,0.0,3947.18611386,276.079269422,0.3,2.6,1140.2,476.6,9557.9,6.3,0.0,5.0,45.1,0.0,1.4,4.0,386.6,22.8,7.3,0.0,0.0,43.7,160.4,2228.0,0.0,102.6,50.5,2420.2,26403.1167822,110.9,193161.2,249.5,1.0,426.2,0.0,117.0,1.2,0.0,583863.826223,0.0,8.2,2215.6,13.8,22.5,113.9
1997,0.0,0.5,0.0,2.6,10.4,3614.83108109,151.6,2450.8,172.3,0.0,0.0,13815.7,3947.4,85.8,11.5,5531.8,21.4,22.1,136.3,985.4,36.2,0.8,10.7,596.3,3.7,0.0,34.7,4497.6,16.4,9.7,1.0,31.6,5.6,22780.9,13622.0,7863.9,0.0,954.3,12171.6,40.0,83.3,7.6,234.9,0.0,0.3,76.5,136.056423386,167.0,0.0,0.0,56.6,2304.4,41414.6,0.0,0.0,4597.4,6.2,159.6,13452.304618,95024.8260247,8821.65005801,245766.695526,44.2,1266.1,137999.5,0.2,13075.3,229.8,95.4,209480.1,614.528928889,4452.2,12.5,30321.9,0.0,0.0,18.7,45883.9,135.9,81.9,2.8,30.0,4.3,0.7,2434.0,0.5,0.0,17.9,0.0,6.3,547001.104178,0.0,10.6,901.925463067,580.5,1.7,1991.5,146.1,0.0,9617.6,0.0,1330.8,390.6,40.4,142.6,6047.4,19401.6,58.3,200.5,51462.4,115.3,271.9,14.4,4.3,0.3,0.0,5802.2,0.0,224.0,7601.99229976,2.4,103.2,0.3,16.2,1.0,11787.6034952,846.39967288,668.690544509,11.7,62.2,16371.6068112,46701.4692196,2.3,215.8,33.6,159.3,0.0,0.0,297.4,13.3,108.3,16.0,0.0,10034.4328338,2301.7,2.6,45973.1789389,53.8,12.9,22.6,4.3,2785.19694238,0.0,16.9,0.0,9.5,2.1,3.3,40.3,349.0,212574.032175,13.3,0.0,27.8,436.9,13.1,12444.3,32237.2398605,2964.9,38.7,2726.3,510855.5,515637.9,63.0,121.894127361,268.1,38.2,75.0,170.4,0.0,28.9,4565.5,0.0,0.5,1255.0,6.9,25.9698474978,0.0,22.2,916.9,18133.4,5.0,10124.5230128,676.2,42.0,61.8,1338.5,4.5,9.3,1.9,0.8,0.5,0.0,4009.92401157,0.0,4011.11592504,287.29226814,0.0,2.6,1069.7,603.2,9655.1,5.0,0.0,1.7,60.5,0.0,1.9,5.2,405.3,25.3,6.0,0.0,1.1,41.1,220.2,2480.7,0.0,98.4,51.5,2265.2,29554.9440576,140.6,189751.9,269.0,1.0,488.4,0.0,120.5,1.9,0.0,590588.241666,2.3,13.6,2222.9,15.8,28.7,125.3
1998,0.0,0.0,0.2,0.8,14.5,3741.42558266,155.5,2550.7,165.9,0.0,0.0,14307.4,4074.0,92.0,2.2,5687.7,19.3,32.1,141.5,929.0,30.4,1.4,13.0,583.4,0.8,0.0,28.2,5234.1,15.3,15.2,1.5,34.9,6.4,22200.7,14138.7,7983.9,0.0,991.8,13781.3,53.9,74.2,11.9,247.7,0.5,0.2,72.7,130.309032229,236.3,0.0,0.0,54.7,2263.5,42955.0,0.7,1.5,4717.9,7.6,156.4,15204.6818259,101592.160407,8968.54036158,251218.18839,31.2,1274.8,143043.2,6.1,13719.5,304.9,79.1,215389.2,577.682825227,4513.4,10.7,31393.1,0.0,0.3,21.4,46141.3,127.8,71.3,3.0,23.4,2.2,0.3,2611.3,0.0,0.0,16.1,0.0,3.0,557488.512642,0.0,11.2,884.407487924,624.6,2.7,2201.9,136.0,0.0,9944.8,0.0,1520.5,541.3,24.7,174.2,6020.3,20056.0,46.8,220.4,53838.3,128.5,265.4,17.6,3.7,0.0,0.0,7056.6,0.0,234.8,8722.16584036,5.5,102.6,1.3,20.6,2.7,13112.3161655,845.184890429,636.460819314,5.3,83.5,16682.3897199,50289.7957093,1.3,257.1,32.1,161.6,0.0,0.0,376.0,20.0,92.1,19.9,1.8,10272.3766339,2658.9,0.0,49588.6450163,37.1,15.6,20.2,5.3,3015.29286432,0.0,8.6,0.0,14.6,1.7,8.2,30.9,387.1,212673.351439,18.3,0.0,25.9,401.7,6.5,12500.4,32134.6972019,3038.7,37.4,2801.7,521340.0,526793.9,79.5,131.128530949,268.1,34.4,65.6,171.4,0.0,33.8,4785.8,0.0,2.5,1418.4,9.4,20.8457520273,0.0,28.5,847.0,17165.6,6.6,10477.4447299,682.7,52.1,67.3,1584.2,4.4,2.2,0.0,0.8,0.0,0.0,3965.97216474,0.0,3967.78363091,285.772777489,0.3,1.8,1140.4,622.9,9835.0,6.3,0.0,2.7,44.3,0.0,2.0,9.9,540.8,16.1,2.7,0.0,0.5,52.9,226.8,2795.0,1.0,96.1,63.9,2283.9,32867.5153396,140.6,190431.4,243.5,0.0,533.9,0.0,99.7,0.8,0.0,604584.909148,1.5,9.1,2224.7,6.9,29.9,110.1
1999,0.0,0.2,1.0,3.4,15.9,3881.24780628,129.9,2635.8,163.9,0.0,0.0,14341.1,4157.8,65.7,5.1,5712.5,21.2,22.9,166.6,867.3,34.9,1.2,9.5,578.6,2.5,0.0,40.7,5859.3,13.5,21.3,0.5,38.7,4.2,22125.4,14572.3,8194.5,0.0,1058.9,15714.7,47.9,70.6,12.5,240.3,1.0,0.6,69.2,119.127743979,256.6,0.0,0.0,49.3,2359.9,42962.9,0.3,0.0,4783.3,5.5,185.4,17294.5637867,107316.327251,9467.36871417,254308.213869,23.7,1293.0,144280.3,2.7,14513.7,340.6,109.5,217832.5,588.796220311,4719.4,14.1,31345.4,0.0,1.7,23.3,46787.9,131.9,74.1,2.1,19.7,6.9,2.2,2625.9,1.9,0.0,15.8,0.0,4.2,561229.983937,0.0,12.4,894.825245172,647.1,0.7,2199.6,162.7,0.0,10190.4,0.0,1458.9,664.8,22.9,143.2,5928.8,20327.1,50.0,230.3,55273.8,104.6,242.6,13.9,7.2,0.0,1.5,8478.2,0.0,295.9,9592.91167136,3.8,124.3,0.0,17.8,0.5,14100.5570608,891.745974213,641.142174876,16.6,86.9,17205.7399514,54444.5907087,2.6,273.9,28.9,179.3,0.0,0.0,437.8,22.7,93.4,20.9,2.0,10450.2710739,2883.5,1.2,53733.0731994,48.8,10.7,18.6,9.9,3321.27814948,0.0,12.2,0.0,13.9,2.2,16.7,36.4,471.4,210170.265925,14.7,0.0,16.0,416.5,8.3,12168.2,32823.5708459,3042.5,39.9,2915.4,524385.7,530491.9,89.4,143.319138111,295.9,44.3,61.8,175.8,0.0,32.8,5100.2,0.0,2.2,1710.7,5.3,33.444832923,0.0,22.8,917.2,17145.4,2.7,10781.8053604,604.9,43.1,75.5,1897.2,7.7,1.3,1.1,0.2,0.5,0.0,4039.03805698,0.0,4041.73631253,298.421385045,0.0,3.4,979.4,707.8,9889.7,4.3,0.0,1.7,57.8,0.0,2.8,9.9,549.5,26.0,0.8,0.0,0.8,38.7,256.8,3222.7,0.0,87.2,71.1,2354.9,36495.6626406,150.3,188004.1,240.6,0.0,498.0,0.0,110.9,3.6,0.0,612432.457543,1.3,10.7,2302.5,6.0,25.9,104.8
2000,0.0,1.0,2.0,6.1,22.8,7944.61284137,293.8,4244.1,313.6,0.0,0.3,20660.5,6171.4,148.0,0.4,9091.6,41.0,49.4,436.0,1527.4,73.2,1.7,25.7,1011.0,0.5,0.0,34.0,11609.4,24.0,32.2,1.1,98.5,5.0,31093.1,29901.3,11834.8,0.0,1478.5,47289.8,70.1,118.1,23.2,510.2,1.0,0.3,118.3,234.196621041,1009.4,0.0,0.0,133.8,4904.5,64372.9,2.0,0.0,6660.9,12.1,352.5,51130.809722,193358.846662,18385.6627565,397052.608822,70.3,2404.1,223334.5,3.6,23410.1,442.3,155.9,338988.5,1234.37340415,6602.1,24.5,47509.7,0.0,2.3,25.2,70089.0,215.7,127.9,2.2,30.5,1.5,0.0,4879.8,1.0,0.0,22.3,0.0,9.2,855198.781021,0.0,12.7,1398.70256213,1727.3,6.5,3978.1,337.3,0.0,20873.8,0.0,2463.7,1451.7,84.4,203.8,8541.9,33492.8,103.9,517.6,86232.3,174.0,350.3,27.0,13.0,0.0,1.5,14958.1,4.3,461.6,18513.4893603,8.6,356.4,0.0,58.1,0.3,25742.2432386,1614.12816167,1131.88795377,16.2,198.1,34293.1726594,124203.578476,7.1,459.2,59.7,258.1,0.0,0.0,835.4,13.3,151.3,42.1,0.5,17904.9,4787.7,1.1,122909.024766,150.5,15.8,38.6,12.9,6804.3,0.0,23.0,0.0,18.1,5.9,49.2,62.2,1248.9,308937.123356,18.7,0.0,28.0,918.9,12.2,17268.2,55067.4322136,4644.3,87.3,3997.1,794218.6,805607.5,175.2,275.970159927,1017.7,42.1,125.7,312.3,0.3,56.6,10948.2,0.0,22.4,3078.3,11.2,43.4562796203,0.0,44.6,2054.0,26431.4,3.2,22613.5749067,1471.7,64.4,117.1,4249.0,3.8,4.5,8.2,2.2,0.3,1178.3,6643.61738643,0.0,6650.18190391,559.433821537,0.4,2.6,1971.1,1631.1,13764.6,15.6,0.0,4.9,91.2,0.0,1.5,32.7,1548.5,23.1,4.6,0.0,0.3,86.1,590.0,6601.2,0.0,140.4,122.9,4419.7,88603.2190943,220.0,277784.1,328.2,0.2,972.7,0.0,185.3,2.8,39.7,974170.542512,4.7,21.2,3546.5,1.8,29.8,217.9
2001,0.0,2.6,1.2,8.8,19.1,8710.07188829,363.2,4358.4,283.2,0.0,1.0,21376.6,6749.1,136.2,3.6,9353.4,39.9,55.2,437.3,1482.3,79.2,5.2,34.6,1055.5,2.0,0.0,44.5,12879.5,41.8,16.9,1.0,94.6,5.0,30973.1,31129.8,11632.0,0.0,1564.8,59412.4,74.8,137.5,20.7,505.7,0.2,0.2,166.5,305.531207087,1040.4,0.0,0.0,115.3,5314.6,65881.0,0.6,4.1,6650.2,7.0,390.9,63238.9845972,208767.017239,20611.9,404468.435703,59.4,2722.2,230391.7,6.9,24877.8,485.7,167.0,344152.3,1236.83722332,7053.0,27.6,48001.9,0.0,1.1,27.2,66829.1,189.7,116.3,10.8,32.5,2.2,1.7,5350.4,2.5,0.0,21.7,0.0,8.3,863391.773586,0.0,8.0,1447.35482703,1753.2,3.9,3904.7,288.4,0.0,21944.4,0.0,2602.0,1772.9,88.7,232.4,8544.6,34695.2,134.6,510.5,84948.5,163.1,396.4,26.2,13.0,0.5,1.0,17120.5,5.1,493.1,20312.5770348,5.9,372.1,0.9,45.4,0.0,27811.5291431,1685.72296485,1195.56173694,9.0,199.1,36516.1886218,142620.437488,9.3,491.8,62.6,294.0,0.0,0.0,931.1,24.9,118.5,43.4,5.1,19006.8,5193.8,1.6,141236.364932,164.5,26.0,45.0,11.7,7700.7,5.9,21.7,0.0,30.7,7.4,44.5,67.0,1078.9,308163.773352,44.3,0.0,24.4,873.6,11.8,17387.0,57209.5723269,4744.5,107.0,4041.9,800281.2,813748.4,230.6,294.260579883,1122.9,55.3,128.1,278.1,2.8,64.6,11874.8,0.0,52.5,3417.1,15.3,45.7491988968,0.0,73.1,1999.3,26430.6,4.1,23814.9195114,1477.3,57.5,105.6,4495.6,2.2,3.6,15.6,1.1,0.0,1123.9,6806.90634439,0.0,6812.49978801,654.317873226,0.8,4.3,1989.6,1539.8,13952.4,7.1,0.0,3.9,81.8,0.0,2.5,25.9,1714.7,27.1,4.0,0.0,0.8,100.4,712.7,8273.4,1.0,122.4,125.0,5154.6,104704.648953,226.5,277130.9,345.7,0.0,984.0,0.0,215.1,2.2,32.4,1000757.07969,3.6,39.4,3664.9,2.0,47.2,197.5
2002,0.0,1.5,4.0,15.5,28.4,9074.5,350.6,4618.3,292.3,0.0,3.1,22177.7,7038.9,216.6,0.6,9753.9,40.4,73.4,396.8,1471.4,54.2,4.7,47.1,1054.9,1.7,0.0,42.1,14674.0,31.7,23.7,6.2,100.0,3.6,33566.4,33804.6,11703.2,0.0,1944.8,61106.8,70.8,168.4,31.3,649.0,0.2,0.2,161.6,302.628059968,1018.3,0.0,0.0,150.1,5658.1,65845.6,1.3,2.0,6763.6,7.3,468.2,65303.7815441,214279.368718,22306.7,416370.992154,86.7,2782.9,237025.5,11.3,26374.9,488.9,190.6,354304.2,1156.54047591,7028.1,32.0,48419.1,0.0,0.0,28.6,68394.3,201.3,133.9,6.4,22.8,3.8,0.5,5900.2,2.4,0.0,21.9,0.0,8.9,895971.669323,0.0,11.1,1547.2,1966.5,6.1,4147.7,283.8,0.0,23622.8,0.0,2796.6,2518.3,101.1,294.8,9046.1,36284.0,133.0,581.2,85681.8,179.4,426.5,24.4,24.2,0.0,0.3,18344.7,4.6,468.7,22637.1087382,11.9,343.3,0.7,36.7,1.0,30835.831623,1712.75690272,1192.61424987,6.7,226.8,37924.3746104,152370.46255,6.8,708.1,77.7,311.7,0.0,0.0,924.7,21.6,114.0,26.7,0.0,20617.2,5597.2,0.0,150975.110295,147.7,31.1,51.1,12.6,8809.8,11.1,24.7,0.0,20.9,6.9,57.3,72.3,1201.6,325625.260291,37.3,0.0,18.3,1029.8,6.2,18337.1,58559.1246146,4793.7,111.4,4058.1,831254.6,847439.0,229.3,316.543355678,1253.6,44.7,128.5,366.4,0.7,53.9,13295.1,0.0,46.1,3700.1,14.6,52.1680915991,0.0,89.0,1997.7,26299.4,2.7,25623.7729026,1518.4,65.0,108.5,4778.6,0.9,3.4,16.1,0.0,0.7,1187.8,7546.96317599,0.0,7554.36818403,679.102641152,0.6,3.4,2049.4,1710.0,13584.3,13.3,0.0,6.9,79.7,0.0,4.2,18.3,1877.0,32.0,5.1,0.0,1.8,111.1,906.1,10587.2,0.0,143.4,126.5,4413.7,113033.681275,263.4,291995.7,290.0,0.1,982.0,0.0,205.9,3.3,39.9,1042895.57597,6.0,26.4,4128.1,1.6,59.5,158.4
2003,0.0,4.1,6.3,2.4,21.4,10150.3,484.3,4484.7,290.0,0.0,1.8,23274.0,7411.8,245.6,4.5,10238.6,45.4,77.6,453.9,1506.4,118.9,5.2,59.0,992.4,4.8,0.0,48.9,15874.4,39.8,33.6,3.7,113.1,9.2,35740.1,36163.4,12435.7,0.0,2002.3,71113.3,92.3,197.1,46.9,654.5,0.3,2.4,151.5,332.550609548,778.9,0.0,0.0,141.3,6133.7,67491.3,1.3,4.6,6988.1,12.2,587.1,75741.5432551,233188.587308,24059.0,431099.530427,96.1,3044.7,247118.8,14.2,27656.6,532.1,205.0,368404.4,1455.95047473,7258.8,33.1,49849.8,0.0,2.3,30.1,69741.0,179.4,141.8,3.1,29.6,8.0,2.2,6329.5,3.7,0.0,26.4,0.0,6.9,928467.252219,0.0,10.8,1828.8,2225.5,5.6,4152.7,311.3,0.0,26099.7,0.0,2904.3,3458.6,117.5,252.0,9268.9,39096.4,141.4,636.0,87389.1,212.9,405.9,19.2,24.4,0.1,0.2,21801.9,8.7,485.2,24446.425422,17.7,431.9,2.3,53.9,0.0,32749.7992542,2050.8955786,1376.97630281,13.5,260.0,40583.8701662,170920.756856,6.4,793.9,83.3,246.0,0.0,0.0,900.2,26.7,116.5,51.1,2.4,22859.6,6329.9,2.8,169316.957071,143.3,36.9,74.3,11.5,10384.9,12.1,31.3,0.0,24.4,4.9,45.6,76.0,1335.7,335680.710708,40.9,0.0,22.8,1100.8,14.8,18738.5,59513.8566299,4913.1,193.4,4233.0,862522.6,881541.9,282.4,342.984161407,1282.4,62.9,187.0,347.5,0.8,54.6,14423.8,0.0,5.6,4203.0,14.8,57.7700343212,0.0,100.8,2080.0,24486.7,4.2,28301.8,1659.9,85.5,166.4,5342.8,4.9,2.5,11.9,0.2,1.8,1227.0,7822.55169023,0.0,7834.399056,741.845819954,1.9,3.4,2082.5,1986.8,14034.4,14.5,0.0,9.6,99.4,0.0,4.7,25.0,2104.6,27.3,4.0,0.0,1.4,119.7,975.2,12689.4,0.6,164.6,135.8,3976.2,128713.157756,276.5,299875.5,248.2,0.8,1119.0,0.0,283.3,5.5,49.3,1093764.47599,3.8,29.8,4076.6,2.1,47.6,169.2
2004,0.0,1.3,6.8,7.2,21.9,11516.6,520.2,4641.3,328.9,0.0,0.7,25971.5,7977.5,327.5,4.0,11222.3,61.7,72.7,486.2,1603.0,130.7,3.0,110.4,1076.4,4.5,0.0,45.0,18861.9,48.4,28.0,9.4,120.2,8.9,40374.0,40625.5,13753.7,0.0,2255.7,106844.0,107.8,207.6,47.0,804.9,1.2,0.3,211.6,362.172932879,815.5,0.0,0.0,217.5,6773.3,72934.4,1.9,2.4,7629.7,13.6,819.2,112924.401241,290767.217739,28494.4,473100.389409,92.5,3415.2,271073.2,11.7,30934.5,603.7,208.0,402907.1,1576.91297288,8127.0,55.1,53953.1,0.0,2.4,34.3,74711.6,251.7,168.4,10.2,36.9,9.6,4.1,7595.6,5.6,0.0,28.7,0.0,11.4,1028270.61337,0.0,14.0,1995.3,2518.2,7.5,4597.2,364.7,0.0,28734.7,0.0,3703.8,4844.1,90.7,299.9,9998.1,42390.1,154.3,742.2,93882.3,194.6,435.0,27.2,36.4,0.0,0.7,26740.1,6.7,538.8,28546.3632278,37.0,482.0,1.6,60.7,0.0,37293.796863,2248.19436391,1555.4468962,25.7,251.6,45262.7843015,223055.147226,5.9,1104.1,143.2,263.8,0.0,0.0,941.7,37.7,104.9,50.0,2.3,26309.6,7135.8,1.0,221199.999291,244.2,32.8,59.4,15.8,12942.2,4.0,28.0,0.0,30.9,6.4,55.0,79.3,1989.9,375511.036444,29.8,0.0,21.5,1266.2,16.3,20732.5,68024.756755,5459.6,190.4,4635.9,953213.3,975811.6,293.4,351.13281319,1556.4,68.8,194.4,344.0,2.4,40.2,16647.0,0.0,73.4,4958.3,25.3,81.4222585179,0.0,137.6,2362.8,25964.7,9.8,31237.8,1689.2,99.9,129.8,7232.1,2.6,4.4,27.4,0.6,1.1,1260.0,8688.31179541,0.0,8697.42349296,804.291807327,0.6,4.6,2272.6,1879.8,14991.1,11.3,0.0,5.0,130.9,0.0,10.0,22.6,2687.7,34.4,4.5,0.0,1.1,126.2,1330.4,15462.5,0.6,188.4,202.4,4738.9,175908.072269,298.9,335064.2,329.9,0.1,1083.1,0.0,317.6,7.8,44.3,1245152.3877,4.8,38.9,4607.3,3.5,43.6,133.6
2005,0.0,5.2,8.4,8.9,24.5,12899.3836731,673.2,4882.0,375.2,0.0,1.8,29798.2,8838.6,329.8,2.8,12557.0,59.0,74.9,561.6,1905.1,156.6,6.9,180.4,1207.2,5.7,0.0,59.9,21420.4,36.1,30.1,5.5,105.1,9.6,45884.1,46967.7,15151.3,0.0,2520.6,156585.6,102.4,281.7,65.1,966.4,0.9,0.4,207.7,398.090110871,939.6,0.0,0.0,265.6,7722.3,81765.2,2.6,6.3,8111.0,17.7,930.0,164216.584223,364867.493817,32927.7,526014.521068,126.3,3477.7,302713.6,12.8,35197.0,707.8,218.4,447790.7,1914.96756274,8644.3,58.5,58833.0,0.0,4.7,44.1,81156.4,277.5,183.0,6.8,36.0,9.1,1.5,9055.5,5.7,0.0,52.9,0.0,20.2,1135879.92835,0.0,15.2,2279.98747406,3008.7,7.3,5303.2,468.6,0.0,33090.1,0.0,4588.9,6919.6,140.8,345.2,10221.0,46243.2,135.0,790.0,103860.8,229.0,452.6,42.9,36.8,0.0,2.0,30925.9,12.8,610.2,32534.2147563,22.6,549.0,1.3,76.5,0.3,42080.7143923,2557.13018203,1722.63207814,35.1,329.0,51804.9004907,292229.193342,4.7,1403.1,144.1,403.1,0.0,0.0,916.1,37.6,173.0,58.0,3.2,29652.5,8166.2,0.8,289667.497508,239.7,42.8,71.5,50.7,15713.5,11.9,39.4,0.0,34.5,10.5,56.1,81.2,2391.0,409779.483364,49.1,0.0,22.0,1600.3,20.6,23481.0,76460.0554853,6522.5,251.6,5112.6,1051707.1,1077428.4,314.5,374.837982013,2237.6,81.4,216.9,428.4,4.0,34.1,18538.5,0.0,89.0,5723.4,26.8,89.0805865864,0.0,167.8,3184.6,28158.0,7.3,36487.0,1724.2,100.6,166.4,7757.1,3.1,6.5,23.3,1.3,0.0,1787.7,9690.13752088,0.0,9696.48403218,869.524151038,0.3,4.8,2480.5,2310.8,16147.3,18.8,0.0,4.9,141.9,0.0,9.4,26.0,3498.3,29.3,3.2,0.0,0.7,166.8,1670.0,17555.1,0.0,202.1,216.8,5057.5,237826.97361,342.5,363815.9,301.3,0.0,1260.6,0.0,387.8,7.8,55.0,1422745.31508,5.1,44.3,4901.2,5.4,59.9,129.9
