,ABW,AND,AFG,AGO,ALB,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IDN,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KSV,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOC,NOR,NPL,NZL,OEC,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSS,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,PSE,WLD,WSM,YEM,ZAF,COD,ZMB,ZWE
1996,0.0,0.0,0.0,0.0,0.0,902.0,0.0,1097.0,162.0,0.0,0.0,1797.0,1909.0,165.0,1.0,776.0,0.0,0.0,22.0,316.0,0.0,0.0,0.0,698.0,0.0,0.0,0.0,2611.0,0.0,0.0,0.0,0.0,0.0,2583.0,7025.0,2504.0,0.0,176.0,11628.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,614.0,42322.0,0.0,0.0,1309.0,0.0,50.0,12406.0,423193.0,9784.0,133026.0,7.0,504.0,73716.0,0.0,2274.0,12.0,3.0,103554.0,0.0,2179.0,0.0,12916.0,0.0,0.0,0.0,18184.0,288.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,22.0,0.0,0.0,646244.0,41.0,10.0,0.0,259.0,3.0,803.0,40.0,0.0,1661.0,0.0,793.0,288.0,68.0,16.0,1218.0,6997.0,2.0,0.0,339045.0,1022.0,15.0,126.0,0.0,0.0,0.0,68405.0,0.0,0.0,3294.0,0.0,0.0,0.0,12.0,0.0,4783.0,0.0,0.0,0.0,50.0,8188.0,29219.0,1.0,100.0,52.0,196.0,0.0,0.0,90.0,16.0,289.0,7.0,0.0,2414.0,386.0,0.0,29175.0,52.0,0.0,6.0,0.0,1163.0,0.0,114.0,0.0,0.0,0.0,3.0,2.0,221.0,109475.0,0.0,0.0,0.0,0.0,0.0,2348.0,20196.0,1291.0,0.0,1275.0,626048.0,626623.0,0.0,0.0,16.0,31.0,52.0,163.0,0.0,0.0,2411.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,1831.0,18014.0,0.0,1749.0,27.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,288.0,4111.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,203.0,30.0,66.0,0.0,0.0,9.0,45.0,189.0,0.0,0.0,0.0,3636.0,20987.0,25.0,106892.0,914.0,0.0,182.0,0.0,37.0,0.0,0.0,675463.0,0.0,0.0,757.0,0.0,6.0,28.0
1997,0.0,0.0,0.0,0.0,0.0,902.0,0.0,824.0,62.0,0.0,0.0,1760.0,1910.0,165.0,1.0,792.0,0.0,0.0,46.0,394.0,0.0,0.0,0.0,752.0,0.0,0.0,0.0,2756.0,0.0,0.0,0.0,0.0,0.0,3344.0,6882.0,2408.0,0.0,161.0,12672.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,579.0,44438.0,0.0,0.0,1319.0,0.0,34.0,13517.0,433733.0,10644.0,126206.0,8.0,504.0,69397.0,0.0,2237.0,15.0,3.0,98874.0,0.0,2355.0,0.0,13252.0,0.0,0.0,0.0,17938.0,263.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,36.0,0.0,0.0,661091.0,26.0,10.0,0.0,273.0,3.0,737.0,79.0,0.0,1926.0,0.0,796.0,284.0,68.0,22.0,1441.0,6997.0,9.0,0.0,349211.0,1171.0,22.0,152.0,0.0,0.0,0.0,67359.0,0.0,0.0,3469.0,0.0,0.0,0.0,12.0,0.0,4704.0,0.0,0.0,0.0,81.0,8789.0,30576.0,1.0,125.0,48.0,162.0,0.0,0.0,90.0,20.0,295.0,9.0,0.0,2414.0,420.0,0.0,30565.0,66.0,0.0,22.0,0.0,1163.0,0.0,186.0,0.0,0.0,0.0,3.0,2.0,179.0,122558.0,0.0,0.0,0.0,0.0,3.0,2391.0,17153.0,1256.0,0.0,1572.0,643938.0,644561.0,0.0,0.0,27.0,31.0,48.0,125.0,0.0,0.0,2399.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1708.0,15106.0,0.0,2080.0,57.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,266.0,4130.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,246.0,23.0,52.0,0.0,0.0,17.0,41.0,203.0,0.0,0.0,0.0,4688.0,21776.0,32.0,119214.0,815.0,0.0,201.0,0.0,30.0,0.0,0.0,691667.0,0.0,0.0,355.0,0.0,6.0,28.0
1998,0.0,0.0,0.0,0.0,0.0,777.0,0.0,861.0,75.0,0.0,0.0,1862.0,1957.0,165.0,1.0,690.0,0.0,2.0,32.0,274.0,0.0,0.0,0.0,910.0,0.0,0.0,0.0,2491.0,0.0,0.0,0.0,0.0,0.0,3809.0,6411.0,2025.0,0.0,207.0,13751.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,624.0,46523.0,0.0,0.0,1543.0,0.0,42.0,14852.0,426309.0,10856.0,131491.0,8.0,494.0,71873.0,0.0,2271.0,20.0,3.0,102479.0,0.0,2471.0,0.0,13251.0,0.0,0.0,0.0,19530.0,277.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,26.0,0.0,0.0,673732.0,128.0,11.0,0.0,267.0,3.0,690.0,93.0,0.0,2247.0,0.0,985.0,337.0,68.0,41.0,1950.0,6997.0,9.0,0.0,357379.0,1244.0,27.0,111.0,0.0,0.0,0.0,50596.0,0.0,0.0,3154.0,0.0,0.0,0.0,12.0,0.0,4249.0,0.0,0.0,0.0,54.0,10184.0,32557.0,1.0,134.0,44.0,195.0,0.0,0.0,97.0,4.0,257.0,14.0,0.0,3072.0,453.0,0.0,32539.0,84.0,0.0,8.0,0.0,1069.0,0.0,148.0,0.0,0.0,0.0,3.0,2.0,193.0,138542.0,0.0,0.0,0.0,0.0,12.0,2451.0,18434.0,1213.0,0.0,1181.0,655298.0,655958.0,0.0,0.0,45.0,31.0,48.0,163.0,0.0,0.0,2407.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,1299.0,16454.0,0.0,2378.0,45.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,288.0,3972.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,479.0,37.0,41.0,0.0,0.0,17.0,38.0,207.0,0.0,0.0,0.0,5319.0,22355.0,27.0,134733.0,721.0,0.0,201.0,0.0,25.0,0.0,0.0,706289.0,0.0,7.0,200.0,0.0,6.0,28.0
1999,0.0,0.0,0.0,0.0,0.0,809.0,0.0,899.0,109.0,0.0,0.0,1858.0,2028.0,165.0,1.0,591.0,0.0,4.0,49.0,282.0,0.0,0.0,23.0,993.0,0.0,0.0,0.0,2816.0,0.0,0.0,0.0,0.0,0.0,4061.0,5863.0,1916.0,0.0,204.0,15626.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,596.0,50029.0,0.0,0.0,1656.0,0.0,36.0,16913.0,434108.0,10991.0,147250.0,15.0,536.0,82082.0,0.0,2439.0,13.0,3.0,114412.0,0.0,2511.0,0.0,13592.0,0.0,0.0,0.0,21333.0,265.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,28.0,0.0,0.0,710032.0,42.0,8.0,0.0,246.0,1.0,729.0,152.0,0.0,2206.0,0.0,996.0,366.0,68.0,35.0,2053.0,6281.0,9.0,0.0,357531.0,1352.0,25.0,60.0,0.0,0.0,0.0,55970.0,0.0,0.0,3558.0,0.0,0.0,0.0,12.0,0.0,4688.0,0.0,0.0,0.0,119.0,10354.0,35168.0,1.0,86.0,24.0,91.0,0.0,0.0,97.0,15.0,256.0,10.0,0.0,3237.0,455.0,0.0,35150.0,64.0,0.0,11.0,0.0,1101.0,0.0,148.0,0.0,2.0,0.0,3.0,1.0,218.0,153312.0,0.0,0.0,0.0,0.0,9.0,2545.0,21763.0,1335.0,0.0,1420.0,688269.0,689000.0,0.0,0.0,44.0,31.0,48.0,144.0,0.0,0.0,2285.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,1061.0,19900.0,0.0,2418.0,72.0,2.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,261.0,4142.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,738.0,38.0,44.0,0.0,0.0,17.0,67.0,276.0,0.0,0.0,0.0,5401.0,24796.0,27.0,149251.0,767.0,0.0,201.0,0.0,35.0,0.0,0.0,745200.0,0.0,9.0,138.0,0.0,5.0,28.0
2000,0.0,0.0,0.0,0.0,0.0,1124.0,0.0,1062.0,119.0,0.0,0.0,1928.0,1961.0,165.0,1.0,577.0,0.0,2.0,70.0,231.0,0.0,0.0,31.0,994.0,0.0,0.0,0.0,3179.0,0.0,0.0,0.0,0.0,0.0,4187.0,6060.0,2083.0,0.0,241.0,25346.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,555.0,51736.0,0.0,0.0,1730.0,0.0,32.0,26458.0,487448.0,11097.0,155927.0,10.0,534.0,85915.0,0.0,2710.0,13.0,3.0,119259.0,0.0,2579.0,0.0,13870.0,0.0,0.0,0.0,22050.0,232.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,54.0,0.0,0.0,777903.0,51.0,4.0,0.0,337.0,1.0,810.0,157.0,0.0,2206.0,0.0,925.0,410.0,68.0,51.0,1599.0,7877.0,11.0,71.0,384201.0,1399.0,25.0,80.0,0.0,0.0,0.0,72831.0,0.0,0.0,3836.0,0.0,0.0,0.0,12.0,0.0,5239.0,0.0,0.0,0.0,71.0,10799.0,46152.0,1.0,66.0,85.0,98.0,0.0,0.0,104.0,6.0,240.0,7.0,0.0,3150.0,431.0,0.0,46137.0,71.0,0.0,23.0,0.0,1452.0,0.0,148.0,0.0,2.0,0.0,3.0,3.0,206.0,168982.0,0.0,0.0,0.0,0.0,14.0,2465.0,25712.0,1311.0,0.0,1463.0,752191.0,752899.0,0.0,0.0,46.0,7.0,40.0,154.0,0.0,0.0,2404.0,0.0,0.0,81.0,11.0,0.0,0.0,0.0,1003.0,23377.0,0.0,2393.0,76.0,6.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,307.0,4224.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,561.0,45.0,44.0,0.0,0.0,17.0,47.0,277.0,0.0,0.0,0.0,5620.0,35338.0,44.0,164795.0,755.0,0.0,56.0,0.0,34.0,0.0,0.0,824055.0,0.0,7.0,895.0,0.0,5.0,28.0
2001,0.0,0.0,0.0,0.0,0.0,831.0,0.0,691.0,140.0,0.0,0.0,2187.0,1815.0,203.0,1.0,571.0,0.0,2.0,59.0,283.0,0.0,0.0,52.0,930.0,0.0,0.0,0.0,3439.0,0.0,0.0,0.0,0.0,0.0,3963.0,6212.0,1859.0,0.0,246.0,30038.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,568.0,49989.0,0.0,0.0,1757.0,0.0,51.0,31348.0,492429.0,13615.0,147866.0,7.0,464.0,75240.0,0.0,2528.0,18.0,3.0,107808.0,0.0,2390.0,0.0,13499.0,0.0,0.0,0.0,21423.0,254.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,30.0,0.0,0.0,779117.0,74.0,7.0,0.0,362.0,1.0,919.0,212.0,0.0,2379.0,0.0,1019.0,691.0,68.0,49.0,1248.0,7877.0,4.0,52.0,382815.0,1607.0,25.0,84.0,0.0,0.0,0.0,73714.0,0.0,0.0,4134.0,0.0,0.0,0.0,12.0,0.0,5123.0,0.0,0.0,0.0,120.0,12727.0,54161.0,1.0,68.0,51.0,117.0,0.0,0.0,104.0,6.0,437.0,7.0,0.0,2795.0,534.0,0.0,54161.0,66.0,0.0,26.0,0.0,1475.0,0.0,106.0,0.0,2.0,0.0,3.0,3.0,271.0,181476.0,0.0,0.0,0.0,0.0,14.0,2110.0,26742.0,1189.0,0.0,1768.0,752375.0,753246.0,0.0,0.0,58.0,7.0,36.0,135.0,0.0,0.0,2202.0,0.0,0.0,107.0,12.0,0.0,0.0,0.0,1128.0,24777.0,0.0,2616.0,46.0,1.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,301.0,3926.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,534.0,83.0,44.0,0.0,0.0,17.0,22.0,337.0,0.0,0.0,0.0,7208.0,41434.0,52.0,177513.0,803.0,0.0,56.0,0.0,52.0,0.0,0.0,833278.0,0.0,6.0,966.0,0.0,6.0,28.0
2002,1.0,0.0,0.0,0.0,0.0,991.0,0.0,718.0,200.0,0.0,0.0,2364.0,1932.0,234.0,1.0,601.0,0.0,2.0,43.0,289.0,0.0,0.0,52.0,895.0,0.0,0.0,0.0,3481.0,0.0,0.0,0.0,0.0,0.0,3959.0,6589.0,1827.0,0.0,391.0,39806.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,526.0,47598.0,0.0,0.0,1815.0,0.0,43.0,41316.0,488029.0,8057.0,137630.0,13.0,627.0,72993.0,0.0,2763.0,19.0,1.0,104566.0,0.0,2162.0,0.0,13519.0,0.0,0.0,0.0,20624.0,194.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,8.0,0.0,0.0,766928.0,112.0,7.0,0.0,328.0,1.0,842.0,234.0,0.0,2693.0,0.0,914.0,910.0,68.0,71.0,1213.0,7877.0,15.0,21.0,365204.0,1594.0,23.0,123.0,0.0,0.0,0.0,76570.0,0.0,0.0,4144.0,0.0,0.0,0.0,12.0,0.0,5286.0,0.0,0.0,0.0,123.0,7339.0,59285.0,1.0,85.0,41.0,150.0,0.0,0.0,104.0,8.0,239.0,4.0,0.0,3134.0,526.0,0.0,59280.0,42.0,0.0,22.0,0.0,1838.0,0.0,121.0,0.0,2.0,0.0,3.0,3.0,322.0,188204.0,0.0,0.0,0.0,0.0,14.0,2122.0,25853.0,1178.0,0.0,1839.0,741075.0,742015.0,0.0,0.0,55.0,7.0,29.0,149.0,0.0,0.0,2313.0,0.0,0.0,130.0,11.0,0.0,0.0,0.0,1478.0,23712.0,0.0,2914.0,61.0,2.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,300.0,3358.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,615.0,39.0,44.0,0.0,0.0,2.0,45.0,414.0,0.0,0.0,0.0,1601.0,51941.0,30.0,184245.0,715.0,0.0,56.0,0.0,69.0,0.0,0.0,826213.0,0.0,9.0,983.0,0.0,3.0,28.0
2003,1.0,0.0,0.0,0.0,0.0,874.0,0.0,792.0,151.0,0.0,0.0,2418.0,2120.0,246.0,1.0,519.0,0.0,1.0,58.0,278.0,0.0,0.0,32.0,1082.0,0.0,0.0,0.0,3866.0,2.0,0.0,0.0,0.0,0.0,3929.0,5888.0,1831.0,0.0,329.0,56769.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,12.0,625.0,47818.0,0.0,0.0,1772.0,0.0,30.0,58534.0,512027.0,8166.0,138508.0,7.0,493.0,73142.0,0.0,2813.0,18.0,3.0,103560.0,0.0,1972.0,0.0,13511.0,0.0,0.0,0.0,20426.0,195.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,6.0,0.0,0.0,779258.0,107.0,7.0,0.0,387.0,1.0,756.0,201.0,0.0,3425.0,0.0,862.0,1287.0,68.0,57.0,1329.0,7877.0,9.0,25.0,358184.0,1696.0,22.0,179.0,0.0,0.0,0.0,90313.0,0.0,0.0,4482.0,0.0,0.0,0.0,12.0,0.0,5650.0,0.0,0.0,0.0,95.0,8228.0,77881.0,1.0,64.0,16.0,91.0,0.0,0.0,104.0,5.0,293.0,3.0,0.0,3484.0,468.0,0.0,77869.0,48.0,0.0,22.0,0.0,2099.0,0.0,167.0,0.0,2.0,0.0,3.0,3.0,376.0,192870.0,0.0,0.0,0.0,0.0,14.0,2288.0,27156.0,1079.0,0.0,1845.0,752102.0,753059.0,0.0,0.0,57.0,7.0,32.0,141.0,0.0,0.0,2268.0,0.0,0.0,125.0,12.0,0.0,0.0,0.0,881.0,24969.0,0.0,3635.0,56.0,6.0,0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,310.0,3025.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,802.0,30.0,44.0,0.0,0.0,2.0,35.0,489.0,0.0,0.0,5.0,1635.0,69641.0,45.0,188941.0,931.0,0.0,56.0,0.0,78.0,0.0,0.0,857139.0,0.0,16.0,922.0,0.0,3.0,28.0
2004,1.0,0.0,0.0,0.0,0.0,932.0,0.0,786.0,151.0,0.0,0.0,2559.0,2248.0,270.0,1.0,514.0,0.0,2.0,48.0,263.0,0.0,0.0,50.0,1065.0,0.0,0.0,0.0,4044.0,2.0,0.0,0.0,0.0,0.0,5231.0,6099.0,1742.0,0.0,382.0,65786.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,9.0,623.0,48448.0,0.0,0.0,1877.0,0.0,58.0,67758.0,546382.0,10481.0,138975.0,14.0,382.0,74592.0,0.0,2871.0,27.0,1.0,103752.0,0.0,2011.0,0.0,14230.0,0.0,0.0,0.0,19178.0,249.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,9.0,0.0,0.0,804718.0,127.0,7.0,0.0,385.0,1.0,748.0,227.0,0.0,4014.0,0.0,787.0,2426.0,68.0,66.0,1544.0,7877.0,11.0,42.0,368416.0,1756.0,31.0,179.0,0.0,0.0,0.0,105250.0,0.0,0.0,4775.0,0.0,0.0,0.0,12.0,0.0,5983.0,0.0,0.0,0.0,120.0,10430.0,91565.0,1.0,70.0,23.0,108.0,0.0,0.0,104.0,7.0,297.0,16.0,0.0,4898.0,565.0,0.0,91534.0,44.0,0.0,22.0,0.0,3273.0,0.0,143.0,0.0,2.0,0.0,3.0,3.0,522.0,194767.0,0.0,0.0,0.0,0.0,14.0,2187.0,25239.0,1142.0,0.0,1631.0,779479.0,780726.0,0.0,0.0,73.0,7.0,38.0,158.0,0.0,0.0,2381.0,0.0,0.0,123.0,18.0,0.0,0.0,0.0,937.0,22985.0,0.0,4255.0,81.0,4.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,342.0,2768.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,819.0,32.0,44.0,0.0,0.0,3.0,46.0,682.0,0.0,0.0,12.0,4090.0,81104.0,37.0,189536.0,273.0,0.0,56.0,0.0,103.0,0.0,0.0,896283.0,0.0,10.0,956.0,0.0,1.0,28.0
2005,1.0,0.0,0.0,0.0,0.0,982.0,0.0,1054.0,206.0,0.0,0.0,2555.0,2270.0,281.0,1.0,517.0,0.0,1.0,50.0,261.0,0.0,0.0,66.0,1166.0,0.0,0.0,0.0,4054.0,2.0,0.0,0.0,0.0,0.0,5183.0,5561.0,1643.0,0.0,361.0,93485.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,20.0,586.0,48367.0,0.0,0.0,1658.0,0.0,59.0,101484.0,596808.0,10206.0,137103.0,11.0,428.0,74723.0,0.0,3040.0,23.0,1.0,101595.0,0.0,1830.0,0.0,14327.0,0.0,0.0,0.0,17833.0,225.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,17.0,0.0,0.0,838499.0,156.0,7.0,0.0,363.0,1.0,705.0,235.0,0.0,4721.0,0.0,789.0,4051.0,68.0,47.0,1669.0,7877.0,10.0,49.0,367960.0,1523.0,34.0,179.0,0.0,0.0,0.0,122188.0,0.0,0.0,4931.0,0.0,0.0,0.0,12.0,0.0,6371.0,0.0,0.0,0.0,149.0,11083.0,127652.0,1.0,68.0,24.0,112.0,3.0,0.0,140.0,2.0,377.0,7.0,0.0,6696.0,584.0,0.0,121779.0,53.0,0.0,22.0,0.0,4908.0,0.0,100.0,0.0,2.0,0.0,3.0,3.0,522.0,213050.0,0.0,0.0,0.0,0.0,14.0,2217.0,26135.0,1143.0,0.0,1893.0,812364.0,813876.0,0.0,0.0,143.0,7.0,27.0,210.0,0.0,0.0,2028.0,0.0,5861.0,158.0,24.0,0.0,0.0,0.0,916.0,23644.0,0.0,5063.0,119.0,6.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,344.0,2522.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,891.0,30.0,44.0,0.0,0.0,1.0,56.0,928.0,0.0,0.0,3.0,3538.0,110696.0,24.0,207867.0,264.0,0.0,56.0,0.0,180.0,0.0,0.0,966151.0,0.0,20.0,1003.0,0.0,5.0,28.0
